,484af471c61943fa90e5f78e78a229f0,0cd2023eeaf745aca0d3e8ad5e1fc653,fe81d71c52404ed790b3a32051258da9,ff67be0b68e540a9a29a36a2d0c7a5be,19e3e786e1bc4e2b93856f5dc9de8216,347669d050f344ad9fb9e480c814f727,c1204e3a8a1e4c40a35b5b7b1922d1ce,714af8cd12c1441eac4ca980e8c20070,34a6d207ac594035b1009c330fb67a65
test precision0.5,0.9237915873527527,0.9070314168930054,0.9162998795509338,0.9300700426101685,0.8988004326820374,0.9428713321685791,0.9292816519737244,0.9410895109176636,0.9353445172309875
test recall0.5,0.9008085131645203,0.8665158748626709,0.9096343517303467,0.9104424118995667,0.8445854187011719,0.8621875643730164,0.8811008334159851,0.914203405380249,0.8254053592681885
test tp0.7,6576475.0,6228335.0,6630207.0,6640601.0,6136998.0,6185431.0,6321268.0,6663553.0,5823676.0
test fp0.7,327204.0,381447.0,350175.0,285835.0,446064.0,178898.0,240152.0,227729.0,194655.0
test tn0.7,41268520.0,41214264.0,41245624.0,41309920.0,41149748.0,41416908.0,41355624.0,41368048.0,41401160.0
test fn0.7,979758.0,1327898.0,926026.0,915632.0,1419235.0,1370802.0,1234965.0,892680.0,1732557.0
test precision0.7,0.9526044130325317,0.9422905445098877,0.949834406375885,0.9587327241897583,0.9322406649589539,0.9718905091285706,0.9633994102478027,0.9669540524482727,0.9676563143730164
test recall0.7,0.8703377842903137,0.8242645263671875,0.8774487376213074,0.8788242936134338,0.8121769428253174,0.8185865879058838,0.8365634083747864,0.8818617463111877,0.7707115411758423
test tp0.9,6102547.0,5564160.0,6120144.0,6140071.0,5641558.0,5650455.0,5713166.0,6190425.0,5096155.0
test fp0.9,119229.0,132517.0,115037.0,88637.0,190273.0,48800.0,64046.0,69867.0,44052.0
test tn0.9,41476596.0,41463236.0,41480668.0,41507120.0,41405512.0,41546992.0,41531720.0,41525924.0,41551772.0
test fn0.9,1453686.0,1992073.0,1436089.0,1416162.0,1914675.0,1905778.0,1843067.0,1365808.0,2460078.0
test precision0.9,0.980836808681488,0.9767378568649292,0.9815503358840942,0.9857696294784546,0.9673733711242676,0.9914374947547913,0.9889140129089355,0.9888396859169006,0.9914299249649048
test recall0.9,0.8076176047325134,0.7363669276237488,0.8099464178085327,0.8125836253166199,0.7466098666191101,0.7477872967720032,0.756086528301239,0.8192474842071533,0.6744306087493896
test accuracy,0.9733276963233948,0.9658253788948059,0.9733343124389648,0.9757079482078552,0.9614883661270142,0.9707843661308289,0.9714141488075256,0.9780124425888062,0.9643893241882324
test auc,0.9687048196792603,0.9613849520683289,0.9737581610679626,0.9756229519844055,0.9390515089035034,0.9590304493904114,0.9668015241622925,0.9742965698242188,0.9535824060440063
test f1,0.912155270576477,0.8863107562065125,0.9129548072814941,0.9201515913009644,0.8708498477935791,0.9007261991500854,0.9045500755310059,0.9274515509605408,0.8769426345825195
test HPC inference time (whole test dataset),42s,65s,201s,45s,370s,95s,230s,361s,230s
test HPC inference time (one trace),14ms,22ms,67ms,15ms,123ms,32ms,77ms,120ms,77ms
test Model size,275 MB,200 MB,186 MB,14 MB,172 MB,73 MB,312 MB,234 MB,7 MB
